Date, Close, Volume, Open, High, Low
2/18/2020,$319 ,38190550,$315.36 ,$319.75 ,$314.61 
2/14/2020,$324.95 ,20028450,$324.74 ,$325.98 ,$322.85 
2/13/2020,$324.87 ,23686890,$324.19 ,$326.22 ,$323.35 
2/12/2020,$327.20 ,28432570,$321.47 ,$327.22 ,$321.47 
2/11/2020,$319.61 ,23580780,$323.60 ,$323.90 ,$318.71 
2/10/2020,$321.55 ,27337220,$314.18 ,$321.55 ,$313.85 
2/7/2020,$320.03 ,29421010,$322.37 ,$323.40 ,$318 
2/6/2020,$325.21 ,26356390,$322.57 ,$325.22 ,$320.26 
2/5/2020,$321.45 ,29706720,$323.52 ,$324.76 ,$318.95 
2/4/2020,$318.85 ,34154130,$315.31 ,$319.64 ,$313.63 
2/3/2020,$308.66 ,43496400,$304.30 ,$313.49 ,$302.22 
1/31/2020,$309.51 ,49897100,$320.93 ,$322.68 ,$308.29 
1/30/2020,$323.87 ,31685810,$320.54 ,$324.09 ,$318.75 
1/29/2020,$324.34 ,54149930,$324.45 ,$327.85 ,$321.38 
1/28/2020,$317.69 ,40558490,$312.60 ,$318.40 ,$312.19 
1/27/2020,$308.95 ,40485010,$310.06 ,$311.77 ,$304.88 
1/24/2020,$318.31 ,36634380,$320.25 ,$323.33 ,$317.52 
1/23/2020,$319.23 ,26117990,$317.92 ,$319.56 ,$315.65 
1/22/2020,$317.70 ,25458120,$318.58 ,$319.99 ,$317.31 
1/21/2020,$316.57 ,27710810,$317.19 ,$319.02 ,$316 
